iter	Passed	Remaining
682	4544	2109
683	4551	2102
684	4557	2095
685	4564	2089
686	4570	2082
687	4576	2075
688	4583	2068
689	4589	2061
690	4596	2055
691	4604	2049
692	4613	2043
693	4621	2037
694	4629	2031
695	4636	2025
696	4644	2018
697	4652	2013
698	4661	2007
699	4669	2001
700	4676	1994
701	4685	1988
702	4693	1982
703	4700	1976
704	4708	1970
705	4715	1963
706	4723	1957
707	4731	1951
708	4739	1945
709	4747	1938
710	4754	1932
711	4761	1925
712	4768	1919
713	4777	1913
714	4785	1907
715	4794	1901
716	4801	1895
717	4809	1888
718	4817	1882
719	4825	1876
720	4832	1869
721	4839	1863
722	4846	1856
723	4853	1850
724	4860	1843
725	4868	1837
726	4874	1830
727	4881	1823
728	4888	1817
729	4894	1810
730	4900	1803
731	4906	1796
732	4913	1789
733	4920	1783
734	4926	1776
735	4933	1769
736	4939	1762
737	4945	1755
738	4951	1748
739	4958	1742
740	4964	1735
741	4971	1728
742	4977	1721
743	4983	1714
744	4990	1708
745	4996	1701
746	5003	1694
747	5009	1687
748	5016	1681
749	5022	1674
750	5029	1667
751	5036	1660
752	5042	1653
753	5048	1647
754	5054	1640
755	5061	1633
756	5068	1626
757	5074	1620
758	5082	1613
759	5088	1606
760	5095	1600
761	5101	1593
762	5108	1586
763	5114	1579
764	5121	1573
765	5128	1566
766	5134	1559
767	5141	1553
768	5147	1546
769	5153	1539
770	5160	1532
771	5166	1525
772	5173	1519
773	5179	1512
774	5186	1505
775	5192	1498
776	5199	1492
777	5206	1485
778	5213	1478
779	5219	1472
780	5226	1465
781	5233	1458
782	5239	1452
783	5246	1445
784	5252	1438
785	5259	1431
786	5265	1425
787	5271	1418
788	5278	1411
789	5284	1404
790	5291	1398
791	5297	1391
792	5304	1384
793	5310	1377
794	5316	1370
795	5323	1364
796	5330	1357
797	5336	1350
798	5342	1344
799	5349	1337
800	5356	1330
801	5363	1324
802	5370	1317
803	5376	1310
804	5383	1304
805	5390	1297
806	5397	1290
807	5405	1284
808	5412	1277
809	5419	1271
810	5426	1264
811	5433	1258
812	5440	1251
813	5447	1244
814	5454	1238
815	5461	1231
816	5467	1224
817	5474	1218
818	5481	1211
819	5488	1204
820	5495	1198
821	5502	1191
822	5509	1184
823	5515	1178
824	5522	1171
825	5529	1164
826	5536	1158
827	5543	1151
828	5550	1144
829	5557	1138
830	5565	1131
831	5572	1125
832	5579	1118
833	5586	1111
834	5592	1105
835	5599	1098
836	5605	1091
837	5612	1085
838	5619	1078
839	5627	1071
840	5634	1065
841	5641	1058
842	5648	1051
843	5655	1045
844	5662	1038
845	5669	1032
846	5676	1025
847	5683	1018
848	5689	1011
849	5696	1005
850	5703	998
851	5709	991
852	5715	984
853	5721	978
854	5728	971
855	5735	964
856	5741	958
857	5748	951
858	5754	944
859	5761	937
860	5767	931
861	5773	924
862	5780	917
863	5786	910
864	5793	904
865	5800	897
866	5807	890
867	5814	884
868	5821	877
869	5828	870
870	5836	864
871	5843	857
872	5849	851
873	5857	844
874	5864	837
875	5872	831
876	5879	824
877	5887	818
878	5893	811
879	5900	804
880	5907	797
881	5914	791
882	5920	784
883	5927	777
884	5933	771
885	5939	764
886	5946	757
887	5952	750
888	5959	744
889	5965	737
890	5971	730
891	5978	723
892	5984	717
893	5991	710
894	5997	703
895	6004	696
896	6010	690
897	6016	683
898	6023	676
899	6029	669
900	6036	663
901	6042	656
902	6049	649
903	6055	643
904	6062	636
905	6068	629
906	6075	622
907	6081	616
908	6088	609
909	6094	602
910	6100	596
911	6106	589
912	6114	582
913	6120	575
914	6127	569
915	6134	562
916	6140	555
917	6147	549
918	6153	542
919	6160	535
920	6166	528
921	6173	522
922	6180	515
923	6186	508
924	6193	502
925	6199	495
926	6206	488
927	6211	481
928	6218	475
929	6224	468
930	6231	461
931	6237	455
932	6244	448
933	6250	441
934	6256	434
935	6263	428
936	6270	421
937	6277	414
938	6283	408
939	6289	401
940	6296	394
941	6302	388
942	6309	381
943	6315	374
944	6322	367
945	6328	361
946	6334	354
947	6341	347
948	6347	341
949	6354	334
950	6360	327
951	6367	321
952	6373	314
953	6379	307
954	6386	300
955	6392	294
956	6400	287
957	6406	280
958	6412	274
959	6419	267
960	6425	260
961	6432	254
962	6438	247
963	6445	240
964	6451	233
965	6457	227
966	6464	220
967	6470	213
968	6477	207
969	6483	200
970	6490	193
971	6496	187
972	6502	180
973	6510	173
974	6516	167
975	6523	160
976	6529	153
977	6536	147
978	6542	140
979	6549	133
980	6556	126
981	6562	120
982	6569	113
983	6575	106
984	6582	100
985	6588	93
986	6595	86
987	6602	80
988	6608	73
989	6615	66
990	6621	60
991	6629	53
992	6635	46
993	6642	40
994	6649	33
995	6655	26
996	6663	20
997	6669	13
998	6676	6
999	6682	0
